"EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed","VWC5_imputed"
0.97,234.13,6.59,1.27,6.23,13.37,85.71,0.55,0.4,0.2065
0.95,552.57,6.63,1.15,5.48,11.83,80.97,0.6,3.2,0.2089
1.67,462.27,12.4,7.1,4.06,11.81,78.9,0.5875,1,0.2101
1.58,175.46,11.67,3.99,2.08,12.83,82.74,0.575,0,0.2123
2.59,269.2,18.3,10.05,0.93,15.94,67.34,0.5625,1.2,0.2091
2.52,238.92,17.01,7.94,5.49,16.31,71.56,0.55,0,0.2046
3.25,469.06,20.21,11.69,7.21,19.45,62.39,0.5375,0.5,0.1994
2.62,214.21,16.75,8.39,4.58,18.43,75.74,0.525,4.6,0.1936
1.72,153.8,12.23,3.42,2.52,14.76,86.72,0.5125,0.5,0.2064
2.59,174.59,17.8,9.51,1.96,17.08,71.44,0.5,7.2,0.2084
1.51,359.75,10.06,3.3,8.11,15.35,85.87,0.475,9.9,0.2508
1.76,476.43,12.48,4.35,3.79,13.75,78.56,0.45,0.5,0.3041
2.11,234.39,16.23,8.69,1.76,11.1,76.4,0.425,0.9,0.2754
2.21,391.46,16.06,7.22,-0.86,13.46,69.16,0.4,0,0.2549
2.33,330.41,16.35,6.82,1.79,14.59,70.52,0.375,0,0.235
3.22,237.85,23.49,12.77,-1.5,14.39,68.97,0.35,0,0.2191
3.59,342.01,23.58,12.57,2.33,18.03,62.9,0.325,0,0.2024
2.37,346.55,16.52,4.93,5.26,13.72,65.26,0.3,0,0.1885
1.97,345.91,14.98,6.18,1.48,10.36,69.35,0.3375,0,0.1804
2.14,357.95,17.68,9.63,0.25,9.2,77.06,0.375,1.1,0.1741
1.08,402.56,8.79,1.69,0,9.01,85.36,0.4125,8.8,0.1709
1.5,550.28,12.25,5.54,0.56,7.98,84.38,0.45,8.3,0.2222
1.8,429.8,14.03,5.02,1.98,10.19,82.61,0.4875,2.8,0.2816
2.2,272.98,17.36,8.77,0.29,10.17,79.34,0.525,2.3,0.2789
1.24,465.6,9.25,2.27,3.86,10.11,80.42,0.5625,1.2,0.282
1.92,268.64,13.93,3.4,3.81,12.36,72.52,0.6,0,0.261
3,261.75,21.26,9.16,2.09,14.69,72.52,0.625,0,0.2376
3.38,239.04,22.08,11.23,1.32,19.18,68.81,0.65,3.3,0.2139
3.29,329.43,22.56,11.51,2.4,14.79,70.17,0.675,0,0.2014
3.41,161.41,23.47,12.23,0.33,16.28,62.29,0.7,0,0.1969
4.3,314.89,27.06,13.94,4.75,19.46,54.07,0.725,0,0.1833
4.33,303.16,24.81,13.5,8.41,24.66,57.55,0.75,0,0.1662
4.52,282.23,25,13.13,10.19,26.71,50.15,0.775,0,0.1483
4.87,432.25,26.65,14.48,12.6,25.68,44.83,0.8,0,0.1296
4.55,444.5,24.95,12.14,13.73,25.68,50.9,0.7125,0,0.1184
1.95,265.87,11.01,0.84,14.83,22.17,67.52,0.625,0.2,0.1127
4.12,316.26,22.7,10.47,14.14,26.1,59.14,0.5375,0,0.1094
4.61,440.15,26.12,13.93,13.58,25.26,51.17,0.45,0,0.1044
4.39,444.57,25.88,13.03,8.91,23.82,57.86,0.3625,0,0.0997
2.42,431.27,17.15,5.8,5.19,13.2,65.64,0.275,0,0.0946
2.69,374.93,19.32,8.15,4.11,13.21,66.31,0.1875,0,0.0917
1.97,233.5,13.68,3.09,2.8,13.18,72.25,0.1,0,0.0899
2.12,266.37,13.64,4.33,6.98,19.01,68.14,0.1,0,0.0891
2.22,298.94,13.89,3.36,7.64,20.11,74.97,0.1,5.6,0.0881
2.61,227.93,16.52,4.18,8.93,18.66,80.12,0.1,0.4,0.0875
1.39,369.15,8.52,1.22,9.55,17.94,82.9,0.1,3.9,0.0867
3.5,388.45,20.01,5.97,11.44,23.89,70.26,0.1,1.6,0.088
1.26,263.67,7.33,0.31,14.42,18.95,85.21,0.1,21.2,0.0886
0.81,405.93,5.24,0.05,10.57,14.31,93.37,0.1,8.5,0.1363
1.87,325.58,12.29,0.91,9.77,14.93,77.37,0.1,0.2,0.1875
1.52,149.61,9.92,2.24,7.68,15.83,84.12,0.2375,0,0.1837
3.95,180.05,24.3,9.72,6.04,21.3,73.53,0.375,0,0.177
3.39,280.92,19.31,6.24,12.25,21.06,78.11,0.5125,2.7,0.1669
3.87,191.68,22.12,6.88,12.3,24.21,77.7,0.65,0,0.1989
1.39,297.43,8.09,1.09,13.45,20.19,86.03,0.7875,16.7,0.1978
0.87,362.07,5.06,0.1,15.3,19.56,93.97,0.925,53.5,0.2304
2.58,222.8,14.84,4.65,13.26,21.92,79.72,1.0625,0.6,0.2549
1.93,288.94,10.9,3.45,12.85,24.47,86.51,1.2,1.9,0.2364
2.58,392.02,14.75,2.28,14.18,22.47,86.03,1.2125,0,0.2258
2.49,193.98,14.28,3.79,14.1,22.15,89.46,1.225,0.7,0.2148
3.65,216.94,20.1,7.19,13.74,26.39,82.21,1.2375,0,0.204
5.07,246.72,27.41,13.3,13.71,27.93,70.52,1.25,0,0.1864
4.9,233.02,26.66,13.39,12.63,27,72.28,1.2625,0,0.1677
4.12,229.15,22.07,7.46,15.06,26.78,75.39,1.275,0,0.1519
4.25,269.03,24.74,9.92,11.87,23.02,77.54,1.2875,0,0.137
4.89,247.24,29.16,13.29,9.41,21.64,65.31,1.3,0,0.1261
4.12,151.69,24.22,8.25,8.41,22.49,67.41,1.425,0,0.1182
3.03,191.02,17.27,3.71,13.23,21.9,72.29,1.55,0,0.1135
2.1,145.46,12.29,1.2,14.69,21.94,86.52,1.675,25.1,0.1106
1.97,286.16,11.82,1.93,13.84,19.8,91.22,1.8,14.8,0.1901
2.37,296.89,14.16,4.09,12.63,20.85,85.67,1.925,5.4,0.2303
2.49,182.49,15.25,3.98,10.92,19.12,87.62,2.05,14.9,0.2603
3.33,159.5,20.09,7.01,7.76,21.31,80.51,2.175,5.7,0.2658
2.1,188.95,12.67,2.09,12.56,19.66,87.85,2.3,17.9,0.2546
2.32,305.85,14.31,3.27,12.41,18.41,85.49,2.1125,2.2,0.2549
3.38,230.25,20.38,6.21,11.73,19.17,73.42,1.925,0.3,0.2379
1.08,446.98,6.45,0.36,13.13,18.51,87.13,1.7375,17,0.2475
1.88,246.35,10.79,0.63,15.42,20.87,92.61,1.55,3.1,0.2879
4.16,230.82,22.52,10,15.07,25.51,79.19,1.3625,0,0.2718
4.17,209.44,21.25,7.46,18.68,31.03,79.18,1.175,12.6,0.2398
2.76,229.75,15.01,3.96,14.58,23.36,83.56,0.9875,0,0.285
1.39,184.65,8.41,1.8,10.75,18.67,88.55,0.8,10.1,0.2672
2.84,316.04,18.38,7.71,11.02,19.53,85.49,0.9,3.5,0.2714
1.47,319.38,8.86,2.56,11.13,17.6,89.52,1,6.2,0.2523
3.38,219.71,19.52,5.44,10.81,22.77,75.45,1.1,8.8,0.2505
3.04,408.28,17.8,4.4,13.38,21.09,77.9,1.2,2.1,0.2785
1.63,383.05,9.53,1.16,14.39,19.57,87.15,1.3,3.6,0.2553
1.49,438.78,8.56,0.26,14.59,20.78,87.66,1.4,10.1,0.2728
3.44,432.96,20.89,7.83,9.47,19.17,76.08,1.5,1.7,0.298
3.48,295.15,20.79,8.45,10.1,20.58,74.23,1.6,0,0.2755
3.61,141.93,20.97,9.56,9.76,22.65,76.89,1.5375,0,0.2487
2.12,410.9,12.71,4.5,10.09,20.7,82.29,1.475,1.8,0.2333
3.99,248.88,24.07,11.25,8.67,20.46,75.17,1.4125,0,0.223
3.64,181.68,21.19,7.1,7.27,22.4,73.01,1.35,0,0.2102
2.28,331.89,12.97,2.98,14.53,21.74,76.34,1.2875,0,0.1983
