"EV24","FG","Q","SQ","TN","TX","UG","LAI","VWC5_imputed","rd_imputed"
4.58,445.61,25.13,12.37,13.67,25.65,50.85,3.35,0.1087,0
2.02,268.16,11.37,0.92,14.79,22.32,66.71,2.9,0.1029,0
4.14,317.09,22.82,10.58,14.12,26.11,58.72,2.45,0.1002,0
4.62,443.42,26.11,14.02,13.54,25.25,51.04,2,0.0932,0
4.38,438.91,25.86,13.02,8.81,23.8,57.36,1.55,0.0882,0
2.41,426.49,17.11,5.77,5.25,13.17,65.86,1.1,0.0823,0
2.7,375.76,19.41,8.11,4.04,13.23,66.53,0.65,0.0813,0
1.97,237.8,13.68,3.21,2.69,13.17,72.37,0.2,0.0805,0
2.06,258.97,13.43,4.31,6.82,18.88,68.27,0.8,0.081,0
2.25,295.91,14.06,3.51,7.65,20.04,74.56,1.4,0.0829,3.7
2.6,223.2,16.43,4.12,8.78,18.68,80.29,2,0.1118,0.3
1.34,361.58,8.23,1.1,9.54,17.77,83.14,2.6,0.1165,4
3.54,384.78,20.14,6.15,11.38,23.9,70.19,3.2,0.1586,2
1.28,262.01,7.47,0.41,14.38,18.94,84.77,3.8,0.1591,18.7
0.78,403.43,5.09,0.05,10.57,14.35,93.56,4.4,0.2132,11.2
1.78,320.92,11.73,0.8,9.76,14.74,78.23,5,0.2005,0.2
1.54,146.56,9.97,2.12,7.72,15.79,84.26,4.7625,0.1809,0
3.91,175.28,24.08,9.47,6.01,21.25,73.61,4.525,0.1656,0
3.29,275.83,18.84,6.19,12.12,20.96,78.57,4.2875,0.1539,2.4
3.81,189.68,21.74,6.73,12.35,24.2,77.8,4.05,0.1872,0
1.43,297.07,8.29,1.19,13.41,20.3,85.78,3.8125,0.198,15.1
0.99,351.79,5.69,0.19,15.31,20.22,93.56,3.575,0.3122,64.4
2.7,222.81,15.54,5.2,13.26,22.06,79.19,3.3375,0.348,0.5
2.06,287.61,11.53,3.67,13.04,24.78,85.76,3.1,0.3178,2.6
2.68,377.17,15.29,2.65,14.29,22.88,85.59,2.95,0.2932,0
2.57,189.26,14.7,4.01,14.21,22.47,89.08,2.8,0.248,2.4
3.78,215.6,20.75,7.55,13.81,26.75,80,2.65,0.2492,0
5.13,249.03,27.66,13.75,13.78,27.94,69.77,2.5,0.2057,0
4.91,226.69,26.83,13.42,12.58,27.03,72.47,2.35,0.1744,0
4.08,224.78,22.12,7.58,15,26.74,75.24,2.2,0.1458,0
4.25,266.13,24.81,10.03,11.77,22.95,77.66,2.05,0.1276,0
4.87,245.31,29.16,13.21,9.31,21.62,64.88,1.9,0.1127,0
4.13,152.92,24.31,8.36,8.41,22.41,67.51,1.75,0.1006,0
3.05,189.17,17.45,3.82,13.06,21.93,72.08,1.6,0.0963,0
2.09,137.31,12.25,1.18,14.39,21.86,86.33,1.45,0.1433,20
