"VWC5","EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
0.2576,4.59,432.98,25.12,12.31,13.58,25.7,50.47,1.5625,0
0.2548,2.02,258.74,11.39,1.04,14.77,22.33,66.84,1.425,0
0.2536,4.17,309.55,22.93,10.74,14.05,26.18,58.52,1.2875,0
0.2509,4.62,427.97,26.23,13.93,13.49,25.37,51.14,1.15,0
0.2484,4.39,419.8,25.76,12.94,8.81,23.97,56.93,1.0125,0.1
0.2446,2.39,403.78,16.96,5.64,5.31,13.29,65.75,0.875,0
0.2431,2.72,359.03,19.42,8.17,4.11,13.38,66.02,0.7375,0
0.2419,1.94,227.64,13.53,3.12,2.93,13.4,71.95,0.6,0
0.2417,2.01,254.82,13.1,3.86,7.1,18.8,68.07,0.6875,0
0.241,2.27,288.11,14.15,3.5,7.89,20.21,74.7,0.775,2.5
0.2426,2.65,213.68,16.76,4.44,8.64,18.81,79.34,0.8625,0.3
0.2431,1.33,343.85,8.13,1.06,9.42,17.64,83.02,0.95,2.7
0.2584,3.57,376.87,20.33,6.42,11.48,24.04,69.92,1.0375,1.6
0.2566,1.32,261.66,7.72,0.48,14.42,19.19,84.06,1.125,13.9
0.3056,0.75,384.02,4.88,0.05,10.6,14.46,93.97,1.2125,11.1
0.3175,1.68,299.12,11.08,0.69,9.78,14.6,78.87,1.3,0.2
0.3168,1.92,139.95,12.3,2.64,7.65,16.03,83.06,1.425,0
0.3128,4,169.27,24.4,9.71,6.1,21.46,72.75,1.55,0
0.3084,3.18,263.44,18.15,5.78,12.28,21.05,79.13,1.675,3.6
0.2971,3.78,178.11,21.62,6.36,12.41,24.23,77.46,1.8,0
0.2904,1.44,284.67,8.26,1.06,13.41,20.29,85.8,1.925,17.8
0.3157,0.98,324.38,5.61,0.19,15.32,20.42,93.77,2.05,55.7
0.3055,2.65,217.35,15.22,4.97,13.26,21.99,79.05,2.175,0.5
0.2905,1.84,266.6,10.43,3.26,13.09,24.48,88.01,2.3,3.6
0.2844,2.79,342.72,15.79,2.93,14.5,23.51,85.81,2.2875,5.5
0.2709,2.6,186.3,14.81,4.07,14.35,22.76,88.73,2.275,3.4
0.2588,3.71,206.56,20.38,7.26,13.86,26.64,81.34,2.2625,0
0.2375,5.1,234.38,27.51,13.56,13.77,28,70.56,2.25,0
0.2208,4.86,213.45,26.64,13.17,12.83,27.04,73.2,2.2375,0
0.2138,4.06,213.05,21.76,7.4,15.01,27.04,76.55,2.225,0
0.208,4.31,255.28,25.08,10.26,11.75,23.06,77.72,2.2125,0
0.2032,4.84,233.59,28.96,12.88,9.25,21.69,64.94,2.2,0
0.1997,4.16,146,24.43,8.53,8.31,22.44,67.58,2.175,0
0.1976,3.13,183.88,17.85,4.02,13.16,22.09,71.78,2.15,0
0.2087,2.05,135.72,12.02,1.1,14.18,21.8,87.04,2.125,16.7
0.2867,1.99,275.68,11.92,1.98,13.83,20.01,91.37,2.1,15.5
0.271,2.4,287.03,14.38,3.99,12.87,20.78,85.31,2.075,5.8
0.2947,2.56,181.07,15.55,4,11.39,19.37,87.22,2.05,10.8
0.2811,3.35,151.97,20.17,6.97,8.41,21.13,80.64,2.025,14.3
0.3085,2,185.19,12.09,2.05,12.61,19.56,88.38,2,6.4
0.2986,2.33,280.82,14.3,3.27,12.49,18.74,85.55,2.3125,2.3
0.2809,3.33,214.11,20.18,6.17,11.77,19.2,73.98,2.625,0.3
0.2977,1.17,420.05,7.07,0.48,12.79,18.69,86.31,2.9375,17.4
0.3175,1.93,240.37,11,0.62,15.57,21.02,92.09,3.25,2.3
0.3015,4.11,220.57,22.31,9.49,15.35,25.55,79.07,3.5625,0
0.2912,4.37,205.91,22.19,8.13,18.55,31.35,78.31,3.875,19.3
0.3238,2.76,217.26,14.99,3.97,15.08,23.83,83.87,4.1875,0
0.3126,1.23,177.2,7.5,1.43,10.97,18.53,89.22,4.5,6.6
0.3135,2.85,294.66,18.32,7.5,10.85,19.61,85.44,4.425,4.7
0.3151,1.46,305.42,8.8,2.36,11.21,17.58,89.72,4.35,6.2
0.3116,3.59,211.34,20.78,6.01,10.96,22.78,74.89,4.275,7.9
0.3206,3.01,373.86,17.61,4.37,13.37,21.04,77.48,4.2,2.2
0.3025,1.62,357.9,9.49,1.06,14.46,19.67,86.71,4.125,4.7
0.3264,1.54,400.68,8.83,0.35,14.89,20.88,87.72,4.05,13.8
0.3327,3.35,399.28,20.41,7.77,9.74,19.16,76.97,3.975,2.4
0.3118,3.47,279,20.79,8.06,10,20.46,74.82,3.9,0.6
0.2954,3.49,136.32,20.25,9.22,9.74,22.38,77.82,3.6375,0
0.2863,2.13,387.7,12.72,4.48,10.12,20.75,82.12,3.375,1.4
0.2804,3.95,245.35,23.82,11.13,8.9,20.64,75.16,3.1125,0
0.2671,3.73,167.73,21.76,7.57,7.17,22.38,72.95,2.85,0
0.2529,2.33,309.32,13.14,2.97,14.52,21.7,76.27,2.5875,0
0.243,3.43,265.36,18.88,4.14,14.58,24.57,76.14,2.325,0
0.2355,4.6,310.67,24.27,10.16,15.49,29.46,69.62,2.0625,0
0.2276,3.2,468.71,17.86,6.9,15.41,23.18,66.91,1.8,0
0.223,3.74,290.6,21.82,7.45,12.52,23.43,76.56,1.8875,0.4
0.2462,2.21,224.8,13.66,4.27,9.92,19.11,83.93,1.975,4.3
0.2604,3.14,285.99,19.26,7.24,7.59,19.92,74.64,2.0625,0
0.2417,3.29,230.74,19.2,9.16,9.28,21.78,72.54,2.15,0
0.2272,2.21,267.45,12.34,2.53,14.24,24.12,79.45,2.2375,0
0.2231,2.37,244.95,13.3,5.11,13.6,24.68,82.24,2.325,0.6
0.2204,4.49,159.72,23.98,11.48,12.36,28.1,72.02,2.4125,0
0.2152,5.18,165.4,26.83,14.67,12.83,30.63,60.91,2.5,0
0.2116,4.75,266.4,23.95,11.16,17.89,34.74,62.43,2.3125,1.9
0.2093,4.62,203.33,24.3,10.81,16.2,28.4,72.72,2.125,13.8
0.2441,3.02,180.98,16.31,5.74,17.36,26.18,82.28,1.9375,0.3
0.2441,3.32,208.35,17.78,5.84,17.84,26.66,83.68,1.75,0
0.2288,2.79,128.42,15.17,5.11,16.54,26.65,83.14,1.5625,0
0.2167,2.57,213.65,14.06,3.32,14.68,24.7,80.72,1.375,0
0.2093,3.3,120.83,18.5,6.02,11.81,24.48,74.17,1.1875,0
0.2051,2.93,297.43,16.4,4.78,14.15,22.77,78.38,1,2.5
0.2044,2.49,234.29,13.86,3.31,15.88,24.18,83.53,1.2,7.1
0.2098,2.44,311.72,13.84,3.48,15.17,23.31,82.14,1.4,1.8
0.2092,1.89,218.14,10.77,1.82,14.08,22.67,86.74,1.6,1.2
0.2082,2.55,213.95,14.86,5.2,11.64,20.96,81.99,1.8,1.6
0.2168,2.63,215.86,15.46,5.13,11.25,21.9,80.05,2,8.6
0.26,1.03,287.28,6.06,0.05,13.41,18.28,96.25,2.2,9.9
0.3006,0.73,425.65,4.27,0.46,15.77,19.45,94.12,2.4,14.3
0.2893,2.29,378.9,13.2,3.8,12.8,20.94,81.47,2.6,1.3
0.2727,3.02,269.86,17.64,7.44,11.52,23.11,80.96,2.65,0.6
0.2593,2.63,258.33,15.36,6.15,9.8,23.01,83.73,2.7,0.9
0.2525,2.83,344.79,15.93,6.05,9.76,23.96,77.67,2.75,0
0.2467,2.71,366.94,15.68,6.14,12.28,22.13,74.33,2.8,0.7
0.2415,2.4,228.84,15.08,6.58,9.79,19.16,79.74,2.85,2.6
0.2381,2.9,212.08,18.64,8.38,7.12,17.82,79.53,2.9,0.5
0.2357,0.96,342.94,6.12,0.35,5.98,15.92,92.79,2.95,6.8
0.2561,2.23,306.76,12.52,3.73,15.01,23.08,87.11,3,0
0.2457,2.39,281.65,13.62,4.23,13.45,22.86,83.53,2.975,0
0.2388,2.64,150.48,15.3,4.24,11.32,22.9,76.62,2.95,0
0.2302,3.94,218.43,22.86,11.82,10.68,22.28,73.87,2.925,0
0.2216,3.74,283.86,21.97,11.5,10.38,22.54,74.82,2.9,0
0.2151,4.18,282.34,24.08,13.21,10.63,24.73,65.23,2.875,0
0.2102,4.08,203.49,23.33,12.85,9.06,25.24,67.46,2.85,0
0.2122,2.67,225.81,15.05,5.67,10.62,26.37,75.74,2.825,1.7
0.2274,2.96,351.37,16.7,7.51,14.79,24,72.94,2.8,0
0.2474,1.63,420.54,9.57,3.2,14.04,19.38,84.94,2.75,10.3
0.2791,1.52,301.26,8.75,3.43,12.26,22.93,86.77,2.7,0
0.2586,4.03,145.48,21.83,12.8,11.62,28.19,71.01,2.65,0
0.2445,4.22,195.3,21.73,12.9,15.62,31.6,66.74,2.6,0
0.2327,4.22,177.54,21.52,12.82,16.66,32.65,68.14,2.55,0
0.2196,3.73,226.15,19.35,10.99,17.52,29.68,73.69,2.5,0
0.2111,3.44,301.67,18,8.49,16.59,29.32,75.1,2.45,0.2
0.2071,3.09,313.78,16.58,9.06,14.88,27.06,73.37,2.4,0.1
0.2038,2.37,219.29,13.89,5.24,10.23,22.56,80.72,2.4125,0
