"EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
1.01,528.6,6.99,1.11,5.48,12.16,80.38,0.9,4.5
1.67,437.77,12.4,7.04,3.91,12.09,78.64,0.9375,1.5
1.53,164.84,11.33,3.64,2.08,12.99,81.84,0.975,0
2.64,255.25,18.56,10.02,0.59,16.01,66.5,1.0125,1.2
2.44,228.49,16.36,7.46,5.78,16.64,70.69,1.05,0
3.25,444.88,20.14,11.51,7.11,19.74,61.9,1.0875,0.7
2.58,202,16.64,8.31,4.94,18.69,76.12,1.125,6.3
1.61,141.34,11.42,2.69,2.81,14.46,87.11,1.1625,0
2.7,168.83,18.39,9.78,2.14,17.17,71.47,1.2,4.9
1.62,366.12,10.73,3.82,8.13,15.74,83.88,1.125,6
1.73,458.87,12.2,4.25,3.69,14.42,77.99,1.05,0.4
2.19,219.77,16.72,8.84,1.93,11.34,77.15,0.975,1.1
2.23,360.49,16.16,7.35,-0.95,13.55,68.58,0.9,0
2.25,315.2,15.75,6.18,1.8,14.79,70.01,0.825,0
3.24,235.83,23.62,12.89,-1.41,14.5,68.26,0.75,0
3.63,330.39,23.52,12.45,2.29,18.35,61.99,0.675,0
2.37,339.46,16.49,4.79,5.33,13.91,64,0.6,0
1.89,328.52,14.34,5.78,1.31,10.39,68.58,0.625,0
2.11,328.98,17.42,9.35,0.4,9.15,76.6,0.65,1.6
1.07,378.67,8.74,1.6,0.07,9.23,85.36,0.675,9
1.58,521.51,12.88,5.83,0.54,8.18,84.79,0.7,6.6
1.74,416.25,13.59,4.88,2.35,10.27,83.05,0.725,4.5
2.23,265.69,17.59,8.86,0.44,10.35,79.7,0.75,0.8
1.19,434.78,8.86,2.57,3.76,10.13,81.15,0.775,1.3
1.79,251.22,13.01,2.77,3.94,12.28,73.62,0.8,0
2.99,268.52,21.29,9.05,2.29,14.44,72.61,0.825,0
3.44,207.97,22.44,11.42,1.16,19.41,68.24,0.85,3.3
3.35,316.86,22.86,11.47,2.37,15.07,70.11,0.875,0
